drift,vol,leverage,horizon_years,median_terminal,mean_terminal,median_cagr,mean_cagr,median_vol,median_sharpe,median_max_dd,worst_max_dd,prob_loss,prob_beat_1x,prob_dd_gt_50,prob_dd_gt_70,prob_dd_gt_90
0.0,0.05,2.5,10,0.9385628238341269,1.010917582246554,-0.006320489656733708,-0.005976255966609774,0.12495223329217081,0.011987465698857794,-0.37737436534570973,-0.782423580047974,0.56725,0.402,0.1945,0.00725,0.0
0.0,0.05,3.0,10,0.9088706426254893,1.0131627013450601,-0.009509743893028055,-0.008839490676375216,0.149942679950605,0.011987465698854442,-0.4382260095317075,-0.8420526725333285,0.58275,0.38875,0.34325,0.033,0.0
0.0,0.05,1.0,20,0.9731330750770371,1.00440558113811,-0.0013607952033946047,-0.0009892077763066494,0.049980605931255306,-0.002415856349367776,-0.2306242013894072,-0.5861605398761145,0.54525,0.0,0.00375,0.0,0.0
0.0,0.05,1.25,20,0.95897041869541,1.0056948628348255,-0.0020925601296711838,-0.0016065914315135166,0.062475757414069175,-0.0024158563493688217,-0.281893572987334,-0.670626580438503,0.55675,0.40125,0.02775,0.0,0.0
0.0,0.05,1.5,20,0.9420179952271246,1.0070755510407905,-0.002982089871332305,-0.002371566171608575,0.07497090889688299,-0.002415856349369862,-0.3309280765650774,-0.7386613194631072,0.56875,0.391,0.097,0.00075,0.0
0.0,0.05,2.0,20,0.9005628238212147,1.0101325347998684,-0.005223080646703571,-0.004342894229154443,0.09996121186251065,-0.0024158563493698686,-0.4209305732889947,-0.8369925708884414,0.5885,0.372,0.29325,0.02075,0.0
0.0,0.05,2.5,20,0.850154222881782,1.0136013870910883,-0.008084025843157816,-0.006899767955175706,0.12495151482813832,-0.0024158563493703886,-0.5022242418561496,-0.8995757245543803,0.609,0.351,0.5055,0.0955,0.0
0.0,0.05,3.0,20,0.7924277175016787,1.0174737209379114,-0.011565305859353725,-0.010037755205029076,0.14994181779376597,-0.002415856349369304,-0.5742954898429298,-0.9388927039198384,0.628,0.33,0.682,0.222,0.00225
0.0,0.1,1.0,1,0.993814297084546,0.9989386895586743,-0.0061857029154540055,-0.0010613104413257242,0.09991657681491405,-0.011642706806695793,-0.10549644572752692,-0.31795431767262017,0.52475,0.0,0.0,0.0,0.0
0.0,0.1,1.25,1,0.99079586875282,0.998618474191921,-0.009204131247180058,-0.0013815258080790112,0.1248957210186426,-0.011642706806696369,-0.13080219144422872,-0.38115622236964863,0.5295,0.44575,0.0,0.0,0.0
0.0,0.1,1.5,1,0.9871829910035471,0.9982749318035044,-0.012817008996452883,-0.0017250681964957,0.1498748652223711,-0.011642706806696167,-0.15547498694715378,-0.4388576546978856,0.53775,0.44125,0.0,0.0,0.0
0.0,0.1,2.0,1,0.9779941051804357,0.9975149465244278,-0.022005894819564276,-0.0024850534755721993,0.19983315362982815,-0.011642706806694844,-0.2032849648167001,-0.5395018760884132,0.5475,0.429,0.00075,0.0,0.0
0.0,0.1,2.5,1,0.9664047894181627,0.9966526454925049,-0.0335952105818374,-0.0033473545074951287,0.2497914420372851,-0.011642706806704359,-0.2491828351654397,-0.6230595926606322,0.55875,0.41875,0.01275,0.0,0.0
0.0,0.1,3.0,1,0.9531020655328615,0.9956815086936774,-0.04689793446713858,-0.004318491306322649,0.2997497304447422,-0.011642706806700893,-0.29345364389149614,-0.6922471379113792,0.571,0.408,0.04875,0.0,0.0
0.0,0.1,1.0,3,0.9804845141968004,0.996333955437628,-0.006547943997273709,-0.00450492750830653,0.09990209497392225,-0.015292656080709448,-0.1801480924170613,-0.5285923574314817,0.54575,0.0,0.00025,0.0,0.0
0.0,0.1,1.25,3,0.971005797605766,0.9953628461247666,-0.009759675525188971,-0.006669071256129935,0.12487761871740283,-0.015292656080711097,-0.22133818469709543,-0.6111476187335942,0.55325,0.41625,0.002,0.0,0.0
0.0,0.1,1.5,3,0.960067443470395,0.9943698509036649,-0.01349207627949417,-0.009243808830447495,0.1498531424608834,-0.015292656080708357,-0.2610963067809488,-0.6798262305411136,0.56125,0.4085,0.01925,0.0,0.0
0.0,0.1,2.0,3,0.9332872354715986,0.9923172544808118,-0.02275128429694029,-0.015611960681618475,0.1998041899478445,-0.015292656080709234,-0.33597155887535235,-0.784116006581408,0.576,0.39225,0.11075,0.00125,0.0
